Bigram,Chi Square Coefficient,"(x,y)",(x),(y)
"('tfostersfangirl', 'dazedcat')",1.265464460708582,7,7,7
"('sippinonkaty', 'tattyhp')",1.265464460708582,9,9,9
"('joshujworld', 'jaymiujworld')",1.265464460708582,7,7,7
"('dohar', 'pakpahan')",1.265464460708582,7,7,7
"('bishwa', 'zaker')",1.265464460708582,9,9,9
"('fanisa', 'jogjakarta')",1.265464460708582,38,38,38
"('akukepoyan', 'mentionsomeonewhoyoumiss')",1.265464460708582,9,9,9
"('cyrusreinado', 'malikreinado')",1.265464460708582,9,9,9
"('ttrisula', 'ahaaiiyy')",1.2654644607085819,1,1,1
"('ahahahahahhahahahahahahahahahahahah', 'olvidemoslo')",1.2654644607085819,1,1,1
"('dhantird', 'inafull')",1.2654644607085819,1,1,1
"('aerusviper', 'aerusfitzy')",1.2654644607085819,1,1,1
"('rutledgewood', 'adamferrara')",1.2654644607085819,1,1,1
"('jbdvysunamvidh', 'brentanner')",1.2654644607085819,1,1,1
"('voaanjos', 'heuehueue')",1.2654644607085819,1,1,1
"('amisri', 'soniya')",1.2654644607085819,1,1,1
"('beltgel', 'muutai')",1.2654644607085819,1,1,1
"('lovegained', 'paolagudda')",1.2654644607085819,1,1,1
"('kwenye', 'fomu')",1.2654644607085819,1,1,1
"('dhorjo', 'harader')",1.2654644607085819,1,1,1
"('vianikkki', 'gvrys')",1.2654644607085819,1,1,1
"('annotated', 'jmx')",1.2654644607085819,1,1,1
"('pjflock', 'trainhard')",1.2654644607085819,1,1,1
"('seaniepc', 'beenjaked')",1.2654644607085819,1,1,1
"('stillbelieve', 'fanforever')",1.2654644607085819,1,1,1
"('hsfe', 'veeb')",1.2654644607085819,1,1,1
"('meeeeuuu', 'deeeusss')",1.2654644607085819,1,1,1
"('surgepedal', 'plazapedal')",1.2654644607085819,1,1,1
"('nulan', ""sebelum'a"")",1.2654644607085819,1,1,1
"('itigershroff', 'tiggu')",1.2654644607085819,1,1,1
"('satam', 'ozgoruwton')",1.2654644607085819,1,1,1
"('notagoodidea', 'tastedgood')",1.2654644607085819,1,1,1
"('keseden', 'kesmleer')",1.2654644607085819,1,1,1
"('dbvalentine', 'blanketcrap')",1.2654644607085819,1,1,1
"('mhwrnie', 'artonoakbar')",1.2654644607085819,1,1,1
"('mightymendoza', 'safertaxicl')",1.2654644607085819,1,1,1
"('kolleya', 'mashii')",1.2654644607085819,1,1,1
"('pakmun', 'sibukki')",1.2654644607085819,1,1,1
"('votnera', 'vorits')",1.2654644607085819,1,1,1
"('decampeonato', 'tcdeportes')",1.2654644607085819,1,1,1
"('fatmasalim', 'zainabdaham')",1.2654644607085819,1,1,1
"('lacamisadeburgos', 'omartele')",1.2654644607085819,1,1,1
"('kalynpalmerton', 'amberanickoli')",1.2654644607085819,1,1,1
"('onovaryadi', 'ratuherliam')",1.2654644607085819,1,1,1
"('visdaybreak', 'tylxalive')",1.2654644607085819,1,1,1
"('sahiwal', 'contect')",1.2654644607085819,1,1,1
"('erikie', 'soeric')",1.2654644607085819,1,1,1
"('ssaaaahhuuurr', 'saahur')",1.2654644607085819,1,1,1
"('terbangkalai', 'lawong')",1.2654644607085819,1,1,1
"('wijaya', 'kusuma')",1.2654644607085819,1,1,1
"('kmflett', 'lindasgrant')",1.2654644607085819,1,1,1
"('camycjs', 'mismoooooooooooo')",1.2654644607085819,1,1,1
"('sanskriti', 'bachane')",1.2654644607085819,1,1,1
"('kajeysi', 'taeyej')",1.2654644607085819,2,2,2
"('qedaar', 'deseguroo')",1.2654644607085819,1,1,1
"('valentinamijars', 'descortees')",1.2654644607085819,1,1,1
"('rizlieavani', 'handinifs')",1.2654644607085819,1,1,1
"('pueeeede', 'seeeeer')",1.2654644607085819,1,1,1
"('almadinafmsyria', 'emadaljebbeh')",1.2654644607085819,1,1,1
"('dfls', 'kdfj')",1.2654644607085819,1,1,1
"('murlouc', 'asjkdhiausjdhsa')",1.2654644607085819,1,1,1
"('bruprovetti', 'robertinduraes')",1.2654644607085819,1,1,1
"('hayda', 'ubyad')",1.2654644607085819,1,1,1
"('rociodaruich', 'nicoosantillan')",1.2654644607085819,1,1,1
"('mapigilang', 'umiyakk')",1.2654644607085819,1,1,1
"('jazzkindacool', 'lunarsouul')",1.2654644607085819,1,1,1
"('itswalemobitch', 'cadenos')",1.2654644607085819,1,1,1
"('umba', 'revolcado')",1.2654644607085819,1,1,1
"('dikafeira', 'aldika')",1.2654644607085819,1,1,1
"('annamaijsa', 'telemarinera')",1.2654644607085819,1,1,1
"('allein', 'bbzvenlo')",1.2654644607085819,1,1,1
"('thunderumblfish', 'jjseapepper')",1.2654644607085819,1,1,1
"('nehalsroy', 'divyaszaika')",1.2654644607085819,1,1,1
"('tarrayn', 'demediw')",1.2654644607085819,1,1,1
"('chrismartin', 'allyouneedislove')",1.2654644607085819,1,1,1
"('newyorkgpg', 'taipeigpg')",1.2654644607085819,1,1,1
"('chancehelton', 'dokesnick')",1.2654644607085819,1,1,1
"('telltaleshel', 'telltaledoug')",1.2654644607085819,1,1,1
"('frandz', 'bayview')",1.2654644607085819,1,1,1
"('bizlere', 'yasakmi')",1.2654644607085819,1,1,1
"('meliwdella', 'livishe')",1.2654644607085819,1,1,1
"('yuleidys', 'suleidys')",1.2654644607085819,1,1,1
"('awenpras', 'zuhriyash')",1.2654644607085819,1,1,1
"('kightwding', 'ingightkdw')",1.2654644607085819,1,1,1
"('sandraanggi', 'arnintarahma')",1.2654644607085819,1,1,1
"('ehsica', 'hoaaaaamm')",1.2654644607085819,1,1,1
"('nurda', 'jejename')",1.2654644607085819,1,1,1
"('modded', 'gamertags')",1.2654644607085819,1,1,1
"('stinge', 'bruuuuuu')",1.2654644607085819,1,1,1
"('errrthangregula', 'whatwolfie')",1.2654644607085819,1,1,1
"('kuw', 'kuwait')",1.2654644607085819,1,1,1
"('alantheprince', 'naic')",1.2654644607085819,1,1,1
"('menyayat', 'hatiq')",1.2654644607085819,1,1,1
"('panyagapan', 'danaka')",1.2654644607085819,1,1,1
"('alggm', 'dfmre')",1.2654644607085819,1,1,1
"('bengithi', 'imina')",1.2654644607085819,1,1,1
"('virginiemarinea', 'raphaaaaaaaaael')",1.2654644607085819,1,1,1
"('dumpydoctor', 'itshotashal')",1.2654644607085819,1,1,1
"('choipatao', 'bzzfrog')",1.2654644607085819,1,1,1
